evidence_id,is_anomaly,anomaly_type,severity,explanation
EVD00465,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00466,1,low_confidence_evidence,MEDIUM,Confidence 0.67 below 0.70 threshold despite approval
EVD00467,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00468,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00469,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00470,1,stale_evidence,HIGH,Evidence is 116 days old without current approval
EVD00471,1,stale_evidence,HIGH,Evidence is 92 days old without current approval
EVD00472,0,,,
EVD00473,0,,,
EVD00474,0,,,
EVD00475,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00476,0,,,
EVD00477,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00478,0,,,
EVD00479,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00480,0,,,
EVD00481,0,,,
EVD00482,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00483,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00484,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00485,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00486,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00487,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00488,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00489,1,stale_evidence,HIGH,Evidence is 138 days old without current approval
EVD00490,1,low_confidence_evidence,MEDIUM,Confidence 0.63 below 0.70 threshold despite approval
EVD00491,0,,,
EVD00492,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00493,1,stale_evidence,HIGH,Evidence is 166 days old without current approval
EVD00494,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00495,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00496,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00497,0,,,
EVD00498,1,stale_evidence,HIGH,Evidence is 131 days old without current approval
EVD00499,0,,,
